;;HISAP;PRIMER;VIBGRATE;FEEDER
600;11.50;10;5;7;30
601;11.50;10;5;7;30
602;11.50;10;5;7;30
603;11.50;10;5;7;30
604;11.50;10;5;7;30
605;11.50;10;5;7;30
606;11.50;10;5;7;30
607;11.50;10;5;7;30
608;11.50;10;5;7;30
609;11.50;10;5;7;30
610;11.51;10;5;7;30
611;11.51;10;5;7;30
612;11.51;10;5;7;30
613;11.51;10;5;7;30
614;11.51;10;5;7;30
615;11.51;10;5;7;30
616;11.51;10;5;7;30
617;11.51;10;5;7;30
618;11.51;10;5;7;30
619;11.51;10;5;7;30
620;11.51;10;5;7;30
621;11.51;10;5;7;30
622;11.51;10;5;7;30
623;11.51;10;5;7;30
624;11.51;10;5;7;30
625;11.51;10;5;7;30
626;11.51;10;5;7;30
627;11.51;10;5;7;30
628;11.51;10;5;7;30
629;11.51;10;5;7;30
630;11.51;10;5;7;30
631;11.51;10;5;7;30
632;11.51;10;5;7;30
633;11.51;10;5;7;30
634;11.51;10;5;7;30
635;11.51;10;5;7;30
636;11.51;10;5;7;30
637;11.51;10;5;7;30
638;11.51;10;5;7;30
639;11.52;8;3;9;30
640;11.52;8;3;9;30
641;11.52;8;3;9;30
642;11.52;8;3;9;30
643;11.52;8;3;9;30
644;11.52;8;3;9;30
645;11.52;8;3;9;30
646;11.52;8;3;9;30
647;11.52;8;3;9;30
648;11.52;8;3;9;30
649;11.52;8;3;9;30
650;11.52;8;3;9;30
651;11.52;8;3;9;30
652;11.52;8;3;9;30
653;11.52;8;3;9;30
654;11.52;8;3;9;30
655;11.52;8;3;9;30
656;11.52;8;3;9;30
657;11.52;8;3;9;30
658;11.52;8;3;9;30
659;11.52;8;3;9;30
660;11.52;8;3;9;30
661;11.52;8;3;9;30
662;11.52;8;3;9;30
663;11.52;8;3;9;30
664;11.52;8;3;9;30
665;11.52;8;3;9;30
666;11.52;8;3;9;30
667;11.52;8;3;9;30
668;11.52;8;3;9;30
669;11.52;8;3;9;30
670;11.53;8;3;9;30
671;11.53;8;3;9;30
672;11.53;8;3;9;30
673;11.53;8;3;9;30
674;11.53;8;3;9;30
675;11.53;8;3;9;30
676;11.53;8;3;9;30
677;11.53;8;3;9;30
678;11.53;8;3;9;30
679;11.53;8;3;9;30
680;11.53;8;3;9;30
681;11.53;8;3;9;30
682;11.53;8;3;9;30
683;11.53;8;3;9;30
684;11.53;8;3;9;30
685;11.53;8;3;9;30
686;11.53;8;3;9;30
687;11.53;8;3;9;30
688;11.53;8;3;9;30
689;11.53;8;3;9;30
690;11.53;8;3;9;30
691;11.53;8;3;9;30
692;11.53;8;3;9;30
693;11.53;8;3;9;30
694;11.53;8;3;9;30
695;11.53;8;3;9;30
696;11.53;8;3;9;30
697;11.54;8;3;9;30
698;11.54;8;3;9;30
699;11.54;8;3;9;30
700;11.54;8;3;9;30
701;11.54;8;3;9;30
702;11.54;8;3;9;30
703;11.54;8;3;9;30
704;11.54;8;3;9;30
705;11.54;8;3;9;30
706;11.54;8;3;9;30
707;11.54;8;3;9;30
708;11.54;8;3;9;30
709;11.54;8;3;9;30
710;11.54;8;3;9;30
711;11.54;8;3;9;30
712;11.54;8;3;9;30
713;11.54;8;3;9;30
714;11.54;8;3;9;30
715;11.54;8;3;9;30
716;11.54;8;3;9;30
717;11.54;8;3;9;30
718;11.54;8;3;9;30
719;11.54;8;3;9;30
720;11.54;8;3;9;30
721;11.54;8;3;9;30
722;11.54;8;3;9;30
723;11.54;8;3;9;30
724;11.54;8;3;9;30
725;11.54;8;3;9;30
726;11.54;8;3;9;30
727;11.54;8;3;9;30
728;11.54;8;3;9;30
729;11.55;8;3;9;30
730;11.55;8;3;9;30
731;11.55;8;3;9;30
732;11.55;8;3;9;30
733;11.55;8;3;9;30
734;11.55;8;3;9;30
735;11.55;8;3;9;30
736;11.55;8;3;9;30
737;11.55;8;3;9;30
738;11.55;8;3;9;30
739;11.55;8;3;9;30
740;11.55;8;3;9;30
741;11.55;8;3;9;30
742;11.55;8;3;9;30
743;11.55;8;3;9;30
744;11.55;8;3;9;30
745;11.55;8;3;9;30
746;11.55;8;3;9;30
747;11.55;8;3;9;30
748;11.55;8;3;9;30
749;11.55;8;3;9;30
750;11.55;8;3;9;30
751;11.55;8;3;9;30
752;11.55;8;3;9;30
753;11.55;8;3;9;30
754;11.55;8;3;9;30
755;11.55;8;3;9;30
756;11.55;8;3;9;30
757;11.55;8;3;9;30
758;11.55;8;3;9;30
759;11.55;8;3;9;30
760;11.55;8;3;9;30
761;11.56;8;3;9;30
762;11.56;8;3;9;30
763;11.56;8;3;9;30
764;11.56;8;3;9;30
765;11.56;8;3;9;30
766;11.56;8;3;9;30
767;11.56;8;3;9;30
768;11.56;8;3;9;30
769;11.56;8;3;9;30
770;11.56;8;3;9;30
771;11.56;8;3;9;30
772;11.56;8;3;9;30
773;11.56;8;3;9;30
774;11.56;8;3;9;30
775;11.56;8;3;9;30
776;11.56;8;3;9;30
777;11.56;8;3;9;30
778;11.56;8;3;9;30
779;11.56;8;3;9;30
780;11.56;8;3;9;30
781;11.56;8;3;9;30
782;11.56;8;3;9;30
783;11.56;8;3;9;30
784;11.56;8;3;9;30
785;11.56;8;3;9;30
786;11.56;8;3;9;30
787;11.56;8;3;9;30
788;11.56;8;3;9;30
789;11.57;8;3;9;30
790;11.57;8;3;9;30
791;11.57;8;3;9;30
792;11.57;8;3;9;30
793;11.57;8;3;9;30
794;11.57;8;3;9;30
795;11.57;8;3;9;30
796;11.57;8;3;9;30
797;11.57;8;3;9;30
798;11.57;8;3;9;30
799;11.57;8;3;9;30
800;11.57;8;3;9;30
801;11.57;8;3;9;30
802;11.57;8;3;9;30
803;11.57;8;3;9;30
804;11.57;8;3;9;30
805;11.57;8;3;9;30
806;11.57;8;3;9;30
807;11.57;8;3;9;30
808;11.57;8;3;9;30
809;11.57;8;3;9;30
810;11.57;8;3;9;30
811;11.57;8;3;9;30
812;11.57;8;3;9;30
813;11.57;8;3;9;30
814;11.57;8;3;9;30
815;11.58;8;3;0;30
816;11.58;8;3;0;30
817;11.58;8;3;0;30
818;11.58;8;3;0;30
819;11.58;8;3;0;30
820;11.58;8;3;0;30
821;11.58;8;3;0;30
822;11.58;8;3;0;30
823;11.58;8;3;0;30
824;11.58;8;3;0;30
825;11.58;8;3;0;30
826;11.58;8;3;0;30
827;11.58;8;3;0;30
828;11.58;8;3;0;30
829;11.58;8;3;0;30
830;11.58;8;3;0;30
831;11.58;8;3;0;30
832;11.58;8;3;0;30
833;11.58;8;3;0;30
834;11.58;8;3;0;30
835;11.58;8;3;0;30
836;11.58;8;3;0;30
837;11.58;8;3;0;30
838;11.58;8;3;0;30
839;11.58;8;3;0;30
840;11.58;8;3;0;30
841;11.58;8;3;0;30
842;11.58;8;3;0;30
843;11.58;8;3;0;30
844;11.58;8;3;0;30
845;11.58;8;3;0;30
846;11.58;8;3;0;30
847;11.59;8;3;0;30
848;11.59;8;3;0;30
849;11.59;8;3;0;30
850;11.59;8;3;0;30
851;11.59;8;3;0;30
852;11.59;8;3;0;30
853;11.59;8;3;0;30
854;11.59;8;3;0;30
855;11.59;8;3;0;30
856;11.59;8;3;0;30
857;11.59;8;3;0;30
858;11.59;8;3;0;30
859;11.59;8;3;0;30
860;11.59;8;3;0;30
861;11.59;8;3;0;30
862;11.59;8;3;0;30
863;11.59;8;3;0;30
864;11.59;8;3;0;30
865;11.59;8;3;0;30
866;11.59;8;3;0;30
867;11.59;8;3;0;30
868;11.59;8;3;0;30
869;11.59;8;3;0;30
870;11.59;8;3;0;30
871;11.59;8;3;0;30
872;11.59;8;3;0;30
873;11.59;8;3;0;30
874;11.59;8;3;0;30
875;11.59;8;3;0;30
876;11.59;8;3;0;30
877;11.59;8;3;0;30
878;12.00;8;5;10;30
879;12.00;8;5;10;30
880;12.00;8;5;10;30
881;12.00;8;5;10;30
882;12.00;8;5;10;30
883;12.00;8;5;10;30
884;12.00;8;5;10;30
885;12.00;8;5;10;30
886;12.00;8;5;10;30
887;12.00;8;5;10;30
888;12.00;8;5;10;30
889;12.00;8;5;10;30
890;12.00;8;5;10;30
891;12.00;8;5;10;30
892;12.00;8;5;10;30
893;12.00;8;5;10;30
894;12.00;8;5;10;30
895;12.00;8;5;10;30
896;12.00;8;5;10;30
897;12.00;8;5;10;30
898;12.00;8;5;10;30
899;12.00;8;5;10;30
900;12.00;8;5;10;30
901;12.00;8;5;10;30
902;12.00;8;5;10;30
903;12.00;8;5;10;30
904;12.00;8;5;10;30
905;12.01;8;5;10;30
906;12.01;8;5;10;30
907;12.01;8;5;10;30
908;12.01;8;5;10;30
909;12.01;8;5;10;30
910;12.01;8;5;10;30
911;12.01;8;5;10;30
912;12.01;8;5;10;30
913;12.01;8;5;10;30
914;12.01;8;5;10;30
915;12.01;8;5;10;30
916;12.01;8;5;10;30
917;12.01;8;5;10;30
918;12.01;8;5;10;30
919;12.01;8;5;10;30
920;12.01;8;5;10;30
921;12.01;8;5;10;30
922;12.01;8;5;10;30
923;12.01;8;5;10;30
924;12.01;8;5;10;30
925;12.01;8;5;10;30
926;12.01;8;5;10;30
927;12.01;8;5;10;30
928;12.01;8;5;10;30
929;12.01;8;5;10;30
930;12.01;8;5;10;30
931;12.02;8;5;10;30
932;12.02;8;5;10;30
933;12.02;8;5;10;30
934;12.02;8;5;10;30
935;12.02;8;5;10;30
936;12.02;8;5;10;30
937;12.02;8;5;10;30
938;12.02;8;5;10;30
939;12.02;8;5;10;30
940;12.02;8;5;10;30
941;12.02;8;5;10;30
942;12.02;8;5;10;30
943;12.02;8;5;10;30
944;12.02;8;5;10;30
945;12.02;8;5;10;30
946;12.02;8;5;10;30
947;12.02;8;5;10;30
948;12.02;8;5;10;30
949;12.02;8;5;10;30
950;12.02;8;5;10;30
951;12.02;8;5;10;30
952;12.02;8;5;10;30
953;12.02;8;5;10;30
954;12.02;8;5;10;30
955;12.02;8;5;10;30
956;12.02;8;5;10;30
957;12.03;8;5;10;30
958;12.03;8;5;10;30
959;12.03;8;5;10;30
960;12.03;8;5;10;30
961;12.03;8;5;10;30
962;12.03;8;5;10;30
963;12.03;8;5;10;30
964;12.03;8;5;10;30
965;12.03;8;5;10;30
966;12.03;8;5;10;30
967;12.03;8;5;10;30
968;12.03;8;5;10;30
969;12.03;8;5;10;30
970;12.03;8;5;10;30
971;12.03;8;5;10;30
972;12.03;8;5;10;30
973;12.03;8;5;10;30
974;12.03;8;5;10;30
975;12.03;8;5;10;30
976;12.03;8;5;10;30
977;12.03;8;5;10;30
978;12.03;8;5;10;30
979;12.03;8;5;10;30
980;12.03;8;5;10;30
981;12.03;8;5;10;30
982;12.03;8;5;10;30
983;12.03;8;5;10;30
984;12.03;8;5;10;30
985;12.04;11;5;4;30
986;12.04;11;5;4;30
987;12.04;11;5;4;30
988;12.04;11;5;4;30
989;12.04;11;5;4;30
990;12.04;11;5;4;30
991;12.04;11;5;4;30
992;12.04;11;5;4;30
