;;DRYING;PIRO;RED;COMB
591;11.50;0;0;0;-1
592;11.50;0;-1;0;-1
593;11.50;-1;0;-1;-1
594;11.50;0;0;0;-1
595;11.50;0;-1;0;0
596;11.50;0;0;0;-2
597;11.50;0;-1;-1;-1
598;11.50;0;0;-1;-1
599;11.50;0;0;0;-1
600;11.50;0;-1;0;-1
601;11.50;-1;0;-1;-1
602;11.50;0;-1;-1;-1
603;11.50;0;0;-1;-1
604;11.50;0;-1;0;-1
605;11.50;0;0;-1;-1
606;11.50;0;0;-1;-1
607;11.50;0;0;0;-1
608;11.50;0;0;-1;0
609;11.50;-1;-1;0;-1
610;11.51;0;0;-1;0
611;11.51;1;0;0;-1
612;11.51;0;0;-1;-1
613;11.51;1;0;-1;0
614;11.51;1;0;0;-1
615;11.51;0;0;-1;-1
616;11.51;1;0;0;-1
617;11.51;0;0;0;-1
618;11.51;1;0;-1;-1
619;11.51;0;-1;0;0
620;11.51;0;0;-1;-1
621;11.51;1;0;-1;0
622;11.51;0;0;0;-1
623;11.51;0;0;-1;0
624;11.51;0;0;0;-1
625;11.51;1;0;0;-1
626;11.51;0;-1;-1;-1
627;11.51;0;0;0;-1
628;11.51;1;0;-2;0
629;11.51;1;0;0;-2
630;11.51;0;0;-1;0
631;11.51;1;0;0;0
632;11.51;0;-1;-1;-1
633;11.51;1;0;-1;0
634;11.51;1;0;0;-1
635;11.51;0;0;-1;0
636;11.51;1;1;0;-1
637;11.51;0;0;-1;-1
638;11.51;1;0;0;-1
639;11.52;0;1;0;0
640;11.52;1;0;-1;0
641;11.52;0;0;0;-1
642;11.52;0;0;0;0
643;11.52;1;1;-1;-1
644;11.52;0;0;0;0
645;11.52;0;0;0;0
646;11.52;0;0;0;-1
647;11.52;1;0;0;0
648;11.52;0;-1;-1;-1
649;11.52;0;0;0;-1
650;11.52;0;0;0;-1
651;11.52;1;-1;0;0
652;11.52;1;0;0;-1
653;11.52;2;-1;0;-1
654;11.52;2;0;0;0
655;11.52;2;-1;1;-1
656;11.52;2;0;0;0
657;11.52;1;-1;0;-2
658;11.52;1;0;0;0
659;11.52;1;0;0;-1
660;11.52;2;0;0;0
661;11.52;2;0;0;-1
662;11.52;7;-1;0;-1
663;11.52;5;-1;1;0
664;11.52;2;0;0;-2
665;11.52;3;0;0;-1
666;11.52;5;0;1;0
667;11.52;5;0;0;-1
668;11.52;3;0;0;0
669;11.52;4;0;1;0
670;11.53;4;0;0;-1
671;11.53;3;0;0;0
672;11.53;2;0;0;0
673;11.53;2;0;1;0
674;11.53;2;0;0;-1
675;11.53;5;-1;0;0
676;11.53;1;0;-1;0
677;11.53;0;-1;0;-1
678;11.53;-2;-2;-1;-1
679;11.53;-1;0;0;0
680;11.53;0;-1;0;-1
681;11.53;0;-1;-1;0
682;11.53;0;-1;-1;0
683;11.53;0;-1;0;0
684;11.53;0;-1;-1;0
685;11.53;0;-1;-1;0
686;11.53;-1;-1;-1;0
687;11.53;0;0;-1;1
688;11.53;-1;-1;0;0
689;11.53;-1;-2;-2;0
690;11.53;0;-1;-1;0
691;11.53;0;-1;-2;0
692;11.53;1;-1;-1;0
693;11.53;2;-1;-1;0
694;11.53;1;-1;-1;-1
695;11.53;0;-1;-1;0
696;11.53;3;-2;-3;0
697;11.54;1;0;-1;-1
698;11.54;2;-1;0;0
699;11.54;2;-1;-2;0
700;11.54;2;-1;-1;0
701;11.54;2;-1;-1;0
702;11.54;2;0;-2;0
703;11.54;2;-1;-1;-1
704;11.54;1;-1;-1;0
705;11.54;1;-1;-1;0
706;11.54;1;-1;-2;0
707;11.54;2;-1;-2;0
708;11.54;2;-1;-1;0
709;11.54;1;-1;-2;0
710;11.54;1;-1;-1;0
711;11.54;2;-1;-1;-1
712;11.54;1;0;-1;-1
713;11.54;2;-1;-1;0
714;11.54;0;-1;-1;-1
715;11.54;1;0;-2;0
716;11.54;1;-1;-1;-1
717;11.54;1;-1;-1;0
718;11.54;1;-1;-2;0
719;11.54;1;0;0;-1
720;11.54;1;-1;-2;0
721;11.54;1;0;0;0
722;11.54;1;-1;-2;-1
723;11.54;1;-1;-1;0
724;11.54;0;0;-1;0
725;11.54;0;0;-1;0
726;11.54;0;-1;-1;0
727;11.54;1;-1;-1;0
728;11.54;3;0;-2;0
729;11.55;3;-1;-1;0
730;11.55;4;-1;-2;0
731;11.55;2;0;0;0
732;11.55;3;-1;-1;0
733;11.55;1;0;-1;0
734;11.55;2;-1;-1;0
735;11.55;1;0;0;0
736;11.55;2;0;-1;0
737;11.55;2;0;-1;0
738;11.55;2;0;-1;1
739;11.55;3;-1;-1;0
740;11.55;2;0;0;-1
741;11.55;4;0;-1;0
742;11.55;1;0;-1;0
743;11.55;4;-1;-2;0
744;11.55;3;0;-1;1
745;11.55;1;0;-1;-1
746;11.55;0;0;0;0
747;11.55;3;0;-2;1
748;11.55;2;0;-1;0
749;11.55;1;0;0;0
